Kategoria: Wszystko

Miesiąc,vacation: (Stany Zjednoczone)
2004-01,88
2004-02,76
2004-03,72
2004-04,67
2004-05,80
2004-06,95
2004-07,99
2004-08,72
2004-09,53
2004-10,51
2004-11,52
2004-12,60
2005-01,100
2005-02,89
2005-03,90
2005-04,79
2005-05,85
2005-06,97
2005-07,90
2005-08,73
2005-09,53
2005-10,54
2005-11,54
2005-12,60
2006-01,92
2006-02,80
2006-03,82
2006-04,72
2006-05,75
2006-06,86
2006-07,87
2006-08,69
2006-09,56
2006-10,55
2006-11,54
2006-12,61
2007-01,88
2007-02,83
2007-03,81
2007-04,76
2007-05,78
2007-06,90
2007-07,89
2007-08,70
2007-09,58
2007-10,53
2007-11,53
2007-12,56
2008-01,85
2008-02,77
2008-03,78
2008-04,70
2008-05,73
2008-06,84
2008-07,81
2008-08,63
2008-09,47
2008-10,46
2008-11,47
2008-12,55
2009-01,79
2009-02,69
2009-03,71
2009-04,62
2009-05,68
2009-06,82
2009-07,82
2009-08,67
2009-09,49
2009-10,46
2009-11,47
2009-12,56
2010-01,74
2010-02,70
2010-03,69
2010-04,61
2010-05,69
2010-06,80
2010-07,72
2010-08,56
2010-09,41
2010-10,38
2010-11,39
2010-12,46
2011-01,70
2011-02,66
2011-03,63
2011-04,57
2011-05,63
2011-06,76
2011-07,73
2011-08,58
2011-09,43
2011-10,39
2011-11,40
2011-12,51
2012-01,66
2012-02,59
2012-03,57
2012-04,54
2012-05,58
2012-06,67
2012-07,64
2012-08,51
2012-09,39
2012-10,36
2012-11,37
2012-12,51
2013-01,59
2013-02,55
2013-03,56
2013-04,52
2013-05,54
2013-06,61
2013-07,62
2013-08,49
2013-09,38
2013-10,36
2013-11,39
2013-12,50
2014-01,61
2014-02,54
2014-03,57
2014-04,51
2014-05,54
2014-06,64
2014-07,65
2014-08,50
2014-09,39
2014-10,35
2014-11,38
2014-12,53
2015-01,59
2015-02,52
2015-03,56
2015-04,50
2015-05,55
2015-06,67
2015-07,76
2015-08,69
2015-09,44
2015-10,40
2015-11,43
2015-12,56
2016-01,60
2016-02,56
2016-03,57
2016-04,53
2016-05,57
2016-06,64
2016-07,64
2016-08,51
2016-09,41
2016-10,38
2016-11,40
2016-12,56
2017-01,59
2017-02,56
2017-03,55
2017-04,51
2017-05,54
2017-06,65
2017-07,65
2017-08,50
2017-09,39
2017-10,38
2017-11,42
2017-12,57
2018-01,57
2018-02,51
2018-03,54
2018-04,56
2018-05,51
2018-06,64
2018-07,63
2018-08,50
2018-09,40
2018-10,37
2018-11,41
2018-12,57
2019-01,54
2019-02,49
2019-03,52
2019-04,46
2019-05,48
2019-06,56
2019-07,56
2019-08,44
2019-09,39
2019-10,37
2019-11,41
2019-12,61
2020-01,56
2020-02,50
2020-03,34
2020-04,26
2020-05,42
2020-06,57
2020-07,50
2020-08,44
2020-09,36
2020-10,35
2020-11,39
2020-12,57
2021-01,43
2021-02,47
2021-03,55
2021-04,55
2021-05,60
2021-06,63
2021-07,58
2021-08,51
2021-09,43
2021-10,41
2021-11,48
2021-12,62
2022-01,53
2022-02,53
2022-03,53
