St. Louis, Missouri, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1938-2000
Missing: -99
Date,Value,Anomaly
193804,57.0,0.5
193805,65.3,-1.1
193806,74.0,-1.7
193807,81.1,1.3
193808,81.3,3.3
193809,72.2,2.0
193810,63.7,4.5
193811,46.6,1.3
193812,35.4,0.8
193901,38.1,7.7
193902,33.3,-2.0
193903,47.3,2.7
193904,52.7,-3.8
193905,68.7,2.3
193906,76.3,0.6
193907,80.5,0.7
193908,75.6,-2.4
193909,75.3,5.1
193910,61.0,1.8
193911,43.7,-1.6
193912,36.3,1.7
194001,14.4,-16.0
194002,32.6,-2.7
194003,42.5,-2.1
194004,53.7,-2.8
194005,63.1,-3.3
194006,76.1,0.4
194007,79.0,-0.8
194008,77.7,-0.3
194009,69.1,-1.1
194010,63.1,3.9
194011,41.9,-3.4
194012,38.6,4.0
194101,33.7,3.3
194102,31.5,-3.8
194103,39.5,-5.1
194104,59.2,2.7
194105,69.7,3.3
194106,76.5,0.8
194107,80.6,0.8
194108,80.3,2.3
194109,72.0,1.8
194110,61.8,2.6
194111,45.0,-0.3
194112,39.8,5.2
194201,31.1,0.7
194202,32.9,-2.4
194203,45.9,1.3
194204,59.7,3.2
194205,65.3,-1.1
194206,74.7,-1.0
194207,80.2,0.4
194208,75.8,-2.2
194209,68.7,-1.5
194210,58.4,-0.8
194211,47.2,1.9
194212,31.2,-3.4
194301,30.3,-0.1
194302,38.7,3.4
194303,39.5,-5.1
194304,54.6,-1.9
194305,64.8,-1.6
194306,77.5,1.8
194307,81.4,1.6
194308,80.5,2.5
194309,66.0,-4.2
194310,56.7,-2.5
194311,41.3,-4.0
194312,30.7,-3.9
194401,35.8,5.4
194402,36.9,1.6
194403,40.6,-4.0
194404,53.0,-3.5
194405,70.8,4.4
194406,79.1,3.4
194407,79.1,-0.7
194408,77.8,-0.2
194409,69.9,-0.3
194410,59.6,0.4
194411,45.9,0.6
194412,28.0,-6.6
194501,27.5,-2.9
194502,34.9,-0.4
194503,53.5,8.9
194504,56.5,0.0
194505,60.9,-5.5
194506,70.6,-5.1
194507,77.0,-2.8
194508,77.6,-0.4
194509,69.4,-0.8
194510,57.4,-1.8
194511,45.2,-0.1
194512,27.6,-7.0
194601,33.5,3.1
194602,40.0,4.7
194603,56.4,11.8
194604,60.4,3.9
194605,62.7,-3.7
194606,76.5,0.8
194607,80.0,0.2
194608,73.4,-4.6
194609,69.1,-1.1
194610,61.9,2.7
194611,47.2,1.9
194612,39.8,5.2
194701,36.4,6.0
194702,28.2,-7.1
194703,36.5,-8.1
194704,54.7,-1.8
194705,63.8,-2.6
194706,73.8,-1.9
194707,76.7,-3.1
194708,85.5,7.5
194709,71.6,1.4
194710,65.7,6.5
194711,40.1,-5.2
194712,38.0,3.4
194801,25.3,-5.1
194802,33.1,-2.2
194803,43.2,-1.4
194804,60.2,3.7
194805,64.7,-1.7
194806,75.4,-0.3
194807,79.2,-0.6
194808,78.6,0.6
194809,71.6,1.4
194810,56.0,-3.2
194811,46.7,1.4
194812,37.6,3.0
194901,32.2,1.8
194902,36.0,0.7
194903,43.7,-0.9
194904,54.0,-2.5
194905,69.5,3.1
194906,77.7,2.0
194907,81.2,1.4
194908,77.3,-0.7
194909,64.3,-5.9
194910,60.1,0.9
194911,48.4,3.1
