Month;Price;Change
Jul 2002;0.63;
Aug 2002;0.61;-3.17%
Sep 2002;0.71;16.39%
Oct 2002;0.73;2.82%
Nov 2002;0.84;15.07%
Dec 2002;0.84;0.00%
Jan 2003;0.91;8.33%
Feb 2003;0.90;-1.10%
Mar 2003;0.82;-8.89%
Apr 2003;0.82;0.00%
May 2003;0.83;1.22%
Jun 2003;0.75;-9.64%
Jul 2003;0.78;4.00%
Aug 2003;0.80;2.56%
Sep 2003;0.82;2.50%
Oct 2003;0.79;-3.66%
Nov 2003;0.75;-5.06%
Dec 2003;0.79;5.33%
Jan 2004;0.88;11.39%
Feb 2004;0.82;-6.82%
Mar 2004;0.81;-1.22%
Apr 2004;0.80;-1.23%
May 2004;0.81;1.25%
Jun 2004;0.88;8.64%
Jul 2004;0.79;-10.23%
Aug 2004;0.75;-5.06%
Sep 2004;0.75;0.00%
Oct 2004;0.70;-6.67%
Nov 2004;0.72;2.86%
Dec 2004;0.81;12.50%
Jan 2005;0.81;0.00%
Feb 2005;0.91;12.35%
Mar 2005;1.09;19.78%
Apr 2005;1.12;2.75%
May 2005;1.24;10.71%
Jun 2005;1.32;6.45%
Jul 2005;1.28;-3.03%
Aug 2005;1.15;-10.16%
Sep 2005;1.03;-10.43%
Oct 2005;1.05;1.94%
Nov 2005;1.13;7.62%
Dec 2005;1.24;9.73%
Jan 2006;1.40;12.90%
Feb 2006;1.39;-0.71%
Mar 2006;1.31;-5.76%
Apr 2006;1.33;1.53%
May 2006;1.32;-0.75%
Jun 2006;1.33;0.76%
Jul 2006;1.42;6.77%
Aug 2006;1.62;14.08%
Sep 2006;1.70;4.94%
Oct 2006;1.66;-2.35%
Nov 2006;1.69;1.81%
Dec 2006;1.69;0.00%
Jan 2007;1.74;2.96%
Feb 2007;1.74;0.00%
Mar 2007;1.70;-2.30%
Apr 2007;1.75;2.94%
May 2007;1.85;5.71%
Jun 2007;2.04;10.27%
Jul 2007;2.04;0.00%
Aug 2007;1.93;-5.39%
Sep 2007;2.05;6.22%
Oct 2007;2.01;-1.95%
Nov 2007;2.04;1.49%
Dec 2007;2.01;-1.47%
Jan 2008;2.19;8.96%
Feb 2008;2.55;16.44%
Mar 2008;2.69;5.49%
Apr 2008;2.45;-8.92%
May 2008;2.40;-2.04%
Jun 2008;2.45;2.08%
Jul 2008;2.54;3.67%
Aug 2008;2.48;-2.36%
Sep 2008;2.32;-6.45%
Oct 2008;1.96;-15.52%
Nov 2008;2.00;2.04%
Dec 2008;1.82;-9.00%
Jan 2009;1.82;0.00%
Feb 2009;1.77;-2.75%
Mar 2009;1.68;-5.08%
Apr 2009;1.67;-0.60%
May 2009;1.67;0.00%
Jun 2009;1.63;-2.40%
Jul 2009;1.58;-3.07%
Aug 2009;1.60;1.27%
Sep 2009;1.63;1.87%
Oct 2009;1.62;-0.61%
Nov 2009;1.53;-5.56%
Dec 2009;1.54;0.65%
Jan 2010;1.54;0.00%
Feb 2010;1.50;-2.60%
Mar 2010;1.48;-1.33%
Apr 2010;1.58;6.76%
May 2010;1.56;-1.27%
Jun 2010;1.70;8.97%
Jul 2010;1.88;10.59%
Aug 2010;1.82;-3.19%
Sep 2010;1.79;-1.65%
Oct 2010;1.88;5.03%
Nov 2010;2.03;7.98%
Dec 2010;2.07;1.97%
Jan 2011;2.23;7.73%
Feb 2011;2.41;8.07%
Mar 2011;2.60;7.88%
Apr 2011;2.59;-0.38%
May 2011;2.69;3.86%
Jun 2011;2.60;-3.35%
Jul 2011;2.49;-4.23%
Aug 2011;2.47;-0.80%
Sep 2011;2.34;-5.26%
Oct 2011;2.16;-7.69%
Nov 2011;2.14;-0.93%
Dec 2011;2.17;1.40%
Jan 2012;2.13;-1.84%
Feb 2012;2.25;5.63%
Mar 2012;2.28;1.33%
Apr 2012;2.24;-1.75%
May 2012;2.36;5.36%
Jun 2012;2.33;-1.27%
Jul 2012;2.36;1.29%
Aug 2012;2.35;-0.42%
Sep 2012;2.31;-1.70%
